Logger firmware: Prestolog 0.1 detected.
# Battery is disconnected!
# Please check the power voltage!!

#end-of: hal_dev_init 
#end-of: hal_dev_usr_init 
#info: function_list init
#info: start control cycle
#info: timer_utility init
#GYRO ANGLE RATE START!
0 46413 #GYRO TIME RAWRATE
#robolib:~$ 1 46663 #GYRO TIME RAWRATE
2 47106 #GYRO TIME RAWRATE
3 45538 #GYRO TIME RAWRATE
4 46968 #GYRO TIME RAWRATE
5 46005 #GYRO TIME RAWRATE
6 47195 #GYRO TIME RAWRATE
7 45934 #GYRO TIME RAWRATE
8 45813 #GYRO TIME RAWRATE
9 45999 #GYRO TIME RAWRATE
10 45708 #GYRO TIME RAWRATE
11 46708 #GYRO TIME RAWRATE
12 46404 #GYRO TIME RAWRATE
13 45717 #GYRO TIME RAWRATE
14 46595 #GYRO TIME RAWRATE
15 45772 #GYRO TIME RAWRATE
16 45924 #GYRO TIME RAWRATE
17 44756 #GYRO TIME RAWRATE
18 46012 #GYRO TIME RAWRATE
19 46362 #GYRO TIME RAWRATE
20 46237 #GYRO TIME RAWRATE
21 45864 #GYRO TIME RAWRATE
22 46517 #GYRO TIME RAWRATE
23 45720 #GYRO TIME RAWRATE
24 45620 #GYRO TIME RAWRATE
25 45604 #GYRO TIME RAWRATE
26 46963 #GYRO TIME RAWRATE
27 45077 #GYRO TIME RAWRATE
28 46095 #GYRO TIME RAWRATE
29 46774 #GYRO TIME RAWRATE
30 44767 #GYRO TIME RAWRATE
31 46564 #GYRO TIME RAWRATE
32 46597 #GYRO TIME RAWRATE
33 45704 #GYRO TIME RAWRATE
34 46446 #GYRO TIME RAWRATE
35 45120 #GYRO TIME RAWRATE
36 47039 #GYRO TIME RAWRATE
37 46390 #GYRO TIME RAWRATE
38 45596 #GYRO TIME RAWRATE
39 45074 #GYRO TIME RAWRATE
40 45221 #GYRO TIME RAWRATE
41 46244 #GYRO TIME RAWRATE
42 46096 #GYRO TIME RAWRATE
43 46160 #GYRO TIME RAWRATE
44 46603 #GYRO TIME RAWRATE
45 46358 #GYRO TIME RAWRATE
46 45361 #GYRO TIME RAWRATE
47 46591 #GYRO TIME RAWRATE
48 45808 #GYRO TIME RAWRATE
49 45528 #GYRO TIME RAWRATE
50 46453 #GYRO TIME RAWRATE
51 47293 #GYRO TIME RAWRATE
52 45525 #GYRO TIME RAWRATE
53 46092 #GYRO TIME RAWRATE
54 45984 #GYRO TIME RAWRATE
55 45390 #GYRO TIME RAWRATE
56 46581 #GYRO TIME RAWRATE
57 45006 #GYRO TIME RAWRATE
58 45836 #GYRO TIME RAWRATE
59 45717 #GYRO TIME RAWRATE
60 45826 #GYRO TIME RAWRATE
61 46058 #GYRO TIME RAWRATE
62 46031 #GYRO TIME RAWRATE
63 46890 #GYRO TIME RAWRATE
64 45927 #GYRO TIME RAWRATE
65 45061 #GYRO TIME RAWRATE
66 45404 #GYRO TIME RAWRATE
67 45721 #GYRO TIME RAWRATE
68 46549 #GYRO TIME RAWRATE
69 46192 #GYRO TIME RAWRATE
70 46920 #GYRO TIME RAWRATE
71 46173 #GYRO TIME RAWRATE
72 46310 #GYRO TIME RAWRATE
73 45812 #GYRO TIME RAWRATE
74 45852 #GYRO TIME RAWRATE
75 44780 #GYRO TIME RAWRATE
76 45795 #GYRO TIME RAWRATE
77 46030 #GYRO TIME RAWRATE
78 45727 #GYRO TIME RAWRATE
79 45775 #GYRO TIME RAWRATE
80 47146 #GYRO TIME RAWRATE
